Time,Bouldering,Slackline,Freshens (Front) ,Outdoor Patio,Light Therapy Station #1,Freshens (Lounge),Game Room,Light Therapy Station #2,Light Therapy Station #3,Quiet Lounge,Outdoor Deck,Fireplace (Lounge),Light Therapy Station #4,Event Space 150,#20,1A,1B,1C,NapZone,Medit 6,Music 12,Music 13,Medit 18,Grey Lounge,1D,1E,Yoga 22,1F,1G,Esports,1H,#30 (30),W/C 40 (13),Cardio 50 (17),Weight Room(40),CrossFit B40 (26),Sauna Left,Sauna Right,Total Patron #/hour 
6:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,2,1,21
7:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,class,0,0,24
8:30 AM,0,0,2,0,0,3,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,6,8,18,0,0,1,49
9:30 AM,0,0,6,0,0,2,0,0,0,3,0,3,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,2,1,0,0,5,5,6,9,3,0,0,51
10:30 AM,0,0,11,0,0,5,5,0,0,9,1,4,0,0,0,1,1,1,3,0,0,0,0,3,1,1,0,1,1,0,1,7,6,11,25,4,0,0,102
11:30 AM,0,0,13,0,0,7,2,0,0,7,0,5,0,0,0,1,2,2,5,0,0,0,0,0,1,1,0,2,1,0,1,5,6,8,22,class,1,0,0
12:30 PM,0,0,15,0,0,15,2,0,0,8,0,4,0,0,0,1,1,2,3,0,0,0,0,0,1,2,0,1,1,0,1,class,7,9,26,class,1,1,101
1:30 PM,0,0,6,0,0,11,2,0,0,9,0,5,0,0,0,1,1,1,1,0,0,0,0,0,1,2,0,2,1,0,1,3,6,4,21,2,1,1,82
2:30 PM,0,0,5,0,0,14,4,0,0,16,0,6,0,0,0,1,4,1,6,0,0,1,0,1,1,2,0,2,2,0,5,3,14,15,23,11,5,2,144
3:30 PM,0,0,4,0,0,13,2,0,0,8,0,9,0,0,0,2,4,1,3,0,2,1,0,1,2,2,event,3,2,8,1,5,13,10,33,5,4,1,139
4:30 PM,So rudly interrupted by the fire alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5:30 PM,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,1,1,1,0,1,0,0,0,2,1,0,1,1,13,1,class,8,10,22,class,3,2,75
6:30 PM,0,0,0,0,0,1,0,0,0,4,0,5,0,0,0,2,0,2,0,0,0,0,0,3,3,1,class,1,1,19,1,6,8,9,29,class,4,3,102
7:30 PM,Covering for esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8:30 PM,Bm in Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9:30 PM,Bm in Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10:30 PM,Bm in Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,class,2,3,15,2,0,0,22
7:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,class,3,6,12,class,0,0,23
8:30 AM,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,class,6,11,11,1,1,0,46
9:30 AM,0,0,0,0,0,4,1,0,0,2,0,3,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,3,6,7,17,2,1,0,54
10:30 AM,0,0,0,0,0,5,0,0,0,3,0,4,,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,4,7,10,20,1,0,0,61
11:30 AM,0,0,5,0,0,9,1,0,0,12,0,6,0,0,CLASS,2,1,1,6,0,0,0,0,2,1,2,0,0,1,0,2,5,4,8,13,2,2,2,87
12:30 PM,0,0,15,0,0,3,0,0,4,15,0,6,0,class,class,2,1,2,0,0,1,1,0,2,1,3,0,3,1,0,2,2,9,10,32,class,1,4,120
1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5:30 PM,0,0,13,0,1,5,1,0,0,8,0,1,1,0,class,1,0,1,0,0,0,0,1,1,1,1,0,0,6,11,1,12,13,12,40,class,3,2,136
6:30 PM,0,0,0,0,0,6,2,0,0,6,0,2,1,0,0,1,0,1,0,0,1,0,0,2,1,1,0,1,1,14,1,9,12,9,38,class,2,0,#REF!
7:30 PM,0,0,0,0,0,3,3,0,0,6,0,2,0,event,0,3,2,1,0,1,1,1,0,1,2,1,0,1,1,17,3,,,,,,,,111
8:30 PM,0,0,0,0,0,1,2,0,0,4,0,2,0,event,class,2,2,2,0,0,0,0,0,0,1,1,0,1,0,17,0,7,6,2,26,class,2,3,49
9:30 PM,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,2,4,1,0,0,0,0,0,0,1,1,0,1,1,8,0,3,3,6,16,3,0,0,57
10:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,3,14,0,0,0,31
Area/Day Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
6:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,2,15,3,0,0,38
7:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,11,1,0,1,21
8:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9:30 AM,0,0,17,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,2,1,0,0,3,5,6,6,1,0,0,56
10:30 AM,0,0,8,0,0,8,2,0,0,9,0,5,0,0,0,1,1,1,2,0,1,1,0,0,2,1,0,1,1,0,1,1,5,3,14,3,1,0,72
11:30 AM,0,0,12,0,1,11,4,1,1,11,13,11,0,0,0,1,2,1,6,0,0,2,0,1,2,1,0,1,1,,0,4,5,12,17,class,2,1,124
12:30 PM,0,0,13,0,0,16,0,0,0,9,0,6,0,0,0,1,2,1,4,0,0,0,0,0,1,2,0,1,2,0,1,5,7,9,25,2,1,2,110
1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2:30 PM,0,0,2,0,0,6,1,0,0,6,0,6,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,2,1,0,1,5,8,8,31,4,0,0,87
3:30 PM,0,0,5,0,0,8,0,0,0,8,0,7,0,0,0,3,2,2,0,0,0,0,0,4,2,1,0,0,1,12,0,12,7,8,24,3,0,1,110
4:30 PM,0,0,2,0,0,4,5,0,0,5,0,4,0,0,0,1,2,1,2,0,0,0,0,2,1,0,0,0,1,14,0,11,6,5,20,2,0,1,89
5:30 PM,0,0,3,0,0,5,5,0,0,5,0,6,0,0,event,1,2,1,1,0,0,0,0,2,2,1,0,2,1,16,2,10,8,4,28,1,0,0,106
6:30 PM,0,0,0,0,0,3,2,0,0,1,0,2,0,0,event,1,2,2,0,0,0,0,0,6,1,2,0,1,0,29,0,4,4,6,18,class,1,2,87
7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8:30 PM,0,0,0,0,0,1,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,class,0,0,7,2,2,5,,,,,,30
9:30 PM,BM on Break,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0
10:30 PM,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,4,0,0,0,10,0,1,3,2,15,class,2,1,48
Area/Day Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10:30 AM,0,0,0,0,1,0,0,0,0,1,0,0,0,event,training,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,class,7,7,12,class,2,2,38
11:30 AM,0,0,0,0,0,0,0,0,0,2,0,1,0,Event,0,1,0,2,0,0,0,0,0,0,1,2,0,2,0,7,0,5,4,8,16,3,2,1,57
12:30 PM,0,0,0,0,0,3,0,0,0,0,0,0,0,event,training,2,1,1,1,0,0,0,0,0,2,1,0,1,1,14,1,3,2,7,14,3,2,0,59
